title,location,publishedAt,companyName,description,applicationsCount,contractType,experienceLevel,workType,sector,new_title,title_cluster
Jr. ML Engineer,"Pasadena, CA",2024-01-18,BallerTV,"BallerTV is a venture-backed startup building the world's largest sports network from the ground up. To date, our AI and computer vision video technology have enabled us to be the world's most prolific producer of live youth sports streams. We film games using a custom ultra-wide fisheye lens to capture an entire basketball court, soccer field, or volleyball court at once. Then we use machine learning to detect the playing area, the people, the balls, and anything else we need to completely understand the scene. We combine all of that information to create a trajectory for our virtual camera to follow the action similarly to how a videographer would film. Rather than relying on a physical actuator, we virtually move the camera by re-projecting the fisheye view. We then live stream the video anywhere in the world. And we do all of this in real time on an iPhone.

This is a junior-level role focusing on machine-learning projects related to sports and video processing. Strong skills in math, good spatio-temporal logic, experience with video preferred. Focus on optimizations is a plus. Strong coding and architecture skills desired.

Given the significant amount of creativity and brainstorming needed to build groundbreaking technology, this is an in-office role. Applicants must be available to work full-time on-site at our Pasadena headquarters.

Projects to include:


 * Analyzing images to find playing surfaces and automatically bound and map them
 * Analyzing video and images to detect players and the ball in a variety of sports using ML models developed in-house
 * Analyzing video to detect events in a variety of sports
 * Developing camera motion policies based on players, balls, and events
 * Most models will run on iOS devices in real time, fully utilizing the CPU, GPU (Metal), and Apple Neural Engine (ANE), so optimizing for time is always important
 * Working on CUDA GPUs
 * Developing visualizations and introspection tools
 * Working with an existing code base across Python, C++, and ML/DL libraries and also developing new code and architecture
 * Working in a small team on substantial projects, with strict deadlines
 * Contribute to design discussions
   
   
   

Skills to include:


 * Strong Python knowledge
 * PyTorch
 * Git experience
 * C++, basic knowledge necessary, but stronger skills highly desired
 * Desire and willingness to learn and understand the projects
 * Strong math and problem-solving skills
 * Ability to reason about projects that depend on both space and time
   
   
   

Nice to haves:


 * Experience with Metal, CUDA, Core ML
 * Knowledge of sports is welcome, but not a requirement; but must be willing to learn about sports to be able to develop projects related to them
   
   
   

Why BallerTV?

Competitive Salary

Equity Stock Options

Medical, Dental, and Vision Insurance

401(K) Contribution

Unlimited Vacation Policy

Immediate ownership and impact

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",Over 200 applicants,Full-time,Not Applicable,Engineering and Information Technology,"Technology, Information and Internet",ML/AI Engineer,4
Machine Learning Engineer Intern - NLU & ML Infra,"Mountain View, CA",2024-05-22,Moveworks,"Who We Are

Moveworks is the AI copilot that takes the friction out of work.

It unifies every business system, giving employees one place to go to find information and automate tasks, increasing employee productivity by simplifying work.

Powered by an genAI infrastructure that leverages the world’s most advanced LLMs and our proprietary MoveLM models, the Moveworks Copilot understands employee requests, devises intelligent plans, then executes actions to get work done across application boundaries.

The world’s most recognizable brands like Databricks, Broadcom, Hearst, and Palo Alto Networks trust Moveworks to automate repetitive support issues, provide a universal search interface, and common use cases across different applications.

Founded in 2016, Moveworks has raised a total of $315 million in funding, and was most recently at $2.1 billion, thanks to our award-winning product and team. In 2023, we were included in the Forbes Cloud 100 list as well as the Forbes AI 50 for the fifth consecutive year. We were also recognized by the 2023 Edison Awards for AI Optimized Productivity, and were included on Fast Company's Most Innovative Companies list for 2024!

Moveworks has over 500 employees in six offices around the world, and is backed by some of the world's most prominent investors, including Kleiner Perkins, Lightspeed, Bain Capital Ventures, Sapphire Ventures, Iconiq, and more.

Come join one of the most innovative teams on the planet!

What You Will Do

Moveworks is seeking talented individuals to join our NLU & ML Infrastructure team as interns for the summer of 2024. This is an exciting opportunity to contribute to the development of our Large Language Model (LLM) based enterprise co-pilot platform. As an intern at Moveworks, you will be at the forefront of LLM technology, developing and deploying state-of-the-art models to our production systems. Our core intelligence system is an LLM that excels in reasoning capabilities, adept at understanding a variety of enterprise-specific tasks and complex user issues. This is achieved through our cutting-edge in-house LLM training and inference infrastructure, which allows us to create intelligent LLMs tailored to our customers' needs and serve the model at scale with low latency. As an intern, you will be a vital part of the team that manages the entire LLM operations end-to-end, contributing to an infrastructure that significantly impacts the core abilities of Moveworks' co-pilot intelligence.


 * You will collaborate with a team of accomplished engineers with prior experience at leading tech companies like Google, Meta, and Amazon.
 * You will learn practical skills in LLM operations including modeling, data generation, LLM training, and LLM serving.
 * You will identify and address an applied machine learning problem in the enterprise co-pilot system, working with ML Engineers across the organization to adopt and productionize LLM usage.
 * You will demonstrate the value of your contributions to Moveworks' products.
   
   

What You Bring To The Table


 * Entering the last year of your bachelor’s or master’s degree; or currently pursuing a PhD.
 * Pursuing a degree in computer science or related fields.
 * Have extremely strong coding skills and speak our LLM / modeling vernacular.
 * Experience in NLP model training and/or serving.
 * Passionate about natural language understanding, information retrieval, or machine learning.
 * Our compensation package includes a market competitive salary, equity for all full time roles, exceptional benefits, and, for applicable roles, commissions or bonus plans.
   
   

Ultimately, in determining pay, final offers may vary from the amount listed based on geography, the role’s scope and complexity, the candidate’s experience and expertise, and other factors.

Moveworks Is An Equal Opportunity Employer


 * Moveworks is proud to be an equal opportunity employer. We provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, veteran status, or any other characteristics protected by law.",Over 200 applicants,Full-time,Internship,Engineering and Information Technology,Software Development,ML/AI Engineer,4
AI/ML Engineer,"San Francisco, CA",2024-04-29,"Unreal Staffing, Inc","We're seeking exceptional engineers to drive our ambitious goals forward! We need individuals with extraordinary skills who can thrive in our fast-paced environment and deliver consistently outstanding results.

Requirements

In this role, you will:


 * Elevate our retrieval-augmented generation (RAG) capabilities by ensuring efficient integration and utilization of diverse data sources
 * Focus on enhancing embedding generation techniques, optimizing them for both accuracy and efficiency
 * Stay updated on the latest advancements in AI models, understanding their evolving capabilities and complexities of integration. You'll become the team's go-to expert, assisting end-users in selecting the most suitable models for their use cases
 * Collaborate closely with both backend and frontend teams to seamlessly integrate AI models into our products and services
 * Prioritize customer needs and build strong relationships by actively engaging in customer support alongside other team members
   
   
   

You'll excel in this role if you have:


 * A Bachelor's or Master's degree in Computer Science, Machine Learning, AI, or related fields
 * Demonstrated expertise in machine learning and AI, particularly in generative models
 * Proficiency in implementing retrieval-augmented generation pipelines
 * Strong programming skills in Python and hands-on experience with popular machine learning frameworks like TensorFlow or PyTorch
 * Familiarity with embedding techniques and their practical applications in AI models
 * Exceptional problem-solving abilities and a track record of thriving in fast-paced environments
 * Excellent communication and collaboration skills
   
   
   

You'll stand out if you also possess:


 * A PhD in a relevant field, showcasing your advanced expertise
 * Published research or projects in generative AI, embeddings, or retrieval-augmented generation
 * Experience with deploying large-scale ML models in production environments
 * Contributions to open-source AI/ML projects, highlighting your proactive involvement in the community
 * In-depth knowledge of generative AI hardware, including GPU architectures, requirements, and optimization techniques for AI model deployment
   
   
   

Benefits


 * Competitive salary package with performance-based bonuses
 * Stock options, allowing you to share in the company's success and growth
 * Comprehensive health insurance coverage for you and your dependents
 * Flexible work hours and the option for remote work, promoting work-life balance
 * Professional development opportunities, including access to conferences, workshops, and courses to enhance your skills
 * Wellness programs and fitness stipends to support your physical and mental well-being
 * Generous vacation and paid time off policies to encourage relaxation and rejuvenation
 * Company-sponsored social events and team-building activities to foster a positive work culture
 * Opportunities for career advancement and growth within the organization",185 applicants,Full-time,Mid-Senior level,Engineering,Non-profit Organizations and Primary and Secondary Education,ML/AI Engineer,4
AI/ML Engineer,"San Francisco, CA",2024-04-29,"Unreal Staffing, Inc","We're seeking exceptional engineers to drive our ambitious goals forward! We need individuals with extraordinary skills who can thrive in our fast-paced environment and deliver consistently outstanding results.

Requirements

In this role, you will:


 * Elevate our retrieval-augmented generation (RAG) capabilities by ensuring efficient integration and utilization of diverse data sources
 * Focus on enhancing embedding generation techniques, optimizing them for both accuracy and efficiency
 * Stay updated on the latest advancements in AI models, understanding their evolving capabilities and complexities of integration. You'll become the team's go-to expert, assisting end-users in selecting the most suitable models for their use cases
 * Collaborate closely with both backend and frontend teams to seamlessly integrate AI models into our products and services
 * Prioritize customer needs and build strong relationships by actively engaging in customer support alongside other team members
   
   
   

You'll excel in this role if you have:


 * A Bachelor's or Master's degree in Computer Science, Machine Learning, AI, or related fields
 * Demonstrated expertise in machine learning and AI, particularly in generative models
 * Proficiency in implementing retrieval-augmented generation pipelines
 * Strong programming skills in Python and hands-on experience with popular machine learning frameworks like TensorFlow or PyTorch
 * Familiarity with embedding techniques and their practical applications in AI models
 * Exceptional problem-solving abilities and a track record of thriving in fast-paced environments
 * Excellent communication and collaboration skills
   
   
   

You'll stand out if you also possess:


 * A PhD in a relevant field, showcasing your advanced expertise
 * Published research or projects in generative AI, embeddings, or retrieval-augmented generation
 * Experience with deploying large-scale ML models in production environments
 * Contributions to open-source AI/ML projects, highlighting your proactive involvement in the community
 * In-depth knowledge of generative AI hardware, including GPU architectures, requirements, and optimization techniques for AI model deployment
   
   
   

Benefits


 * Competitive salary package with performance-based bonuses
 * Stock options, allowing you to share in the company's success and growth
 * Comprehensive health insurance coverage for you and your dependents
 * Flexible work hours and the option for remote work, promoting work-life balance
 * Professional development opportunities, including access to conferences, workshops, and courses to enhance your skills
 * Wellness programs and fitness stipends to support your physical and mental well-being
 * Generous vacation and paid time off policies to encourage relaxation and rejuvenation
 * Company-sponsored social events and team-building activities to foster a positive work culture
 * Opportunities for career advancement and growth within the organization",49 applicants,Full-time,Mid-Senior level,Engineering,Non-profit Organizations and Primary and Secondary Education,ML/AI Engineer,4
AI / ML Engineer,"New York, NY",2024-05-21,VectorShift,"VectorShift is a No-Code Generative AI Platform.

As an AI Engineer you will build new and work on existing VectorShift’s AI product lines (e.g., improving our RAG capabilities, optimizing and improving embedding efficiency).

This will be a challenging and dynamic role, and you will be working at the forefront of distributed systems infrastructure and AI.

Along with building product lines, you can also expect to:


 * Talk with customers to understanding core pain points and iterating with them on feature requests.
 * Contribute to customer support, especially for the products you build!
 * Stay up to date with the latest developments in AI to integrate new capabilities into our platform.
   
   

Responsibilities


 * Work directly with the founders to conceptualize and implement sub-products and features, end to end.
 * Lead technical architecture decisions, ensuring the platform is scalable and maintainable.
 * Drive forward performance optimization.
 * Establish foundational technical practices that will guide future team members.
   
   

Requirements


 * Degree in a technical discipline, preferably computer science.
 * Experience with Python/ FastAPI.
 * Understanding of performance optimization best practices.
 * Strong communication skills and ability to work in high paced environments.
 * Excellent problem solving skills and proven ability to overcome challenges.
 * Experience in AI, machine learning, and building RAG workflows.
   
   

Nice To Have


 * Experience in early-stage startup environments.
 * Experience with no/low-code platforms.
   
   

Benefits


 * Health, dental, and vision insurance.
 * Daily food stipend",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,"Technology, Information and Internet",ML/AI Engineer,4
AI/ML Engineer,"Dallas, TX",2024-05-29,EPSoft,"Job Title :AI/ML Engineer

Location : Dallas, TX

Job Description


 * Bachelor's degree in Computer science or equivalent, with minimum 10+ Years of relevant experience
 * Strong programming skills with Python essential for scripting, data manipulation and interacting with APIs
 * Must have Good Experience with ML frameworks like PyTorch, TensorFlow or similar
 * Should have Knowledge in Understanding of data pipelines, ETL having both SQL and NoSQL Databases knowledge.
 * Must be Specific with skill in extracting, cleaning, transforming data from one format to another and load to target
 * Langchain library (framework) for LLM applications. Understanding of vector embeddings and experience working with Vector databases
 * Knowledge of transformer architecture and generative AI concepts including RAG architecture and how they integrate LLMs
 * NLP fundamentals
 * Should have Familiarity with LLMs like LLAMA or similar and their applications in SQL/NoSQL generations, summarization etc.",82 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,ML/AI Engineer,4
Machine Learning Research Engineer,"Somerville, MA",2024-05-29,Neural Magic,"About Neural Magic

Based in Somerville, Massachusetts, Neural Magic is a series A startup backed by leading investors including Andreessen Horowitz, NEA, NEA, Pillar, VMware, Verizon Ventures, Comcast Ventures, and Amdocs. At Neural Magic we believe the future of AI is open and we are on a mission to bring the power of open-source LLMs and VLLM to every enterprise on the planet. Neural Magic accelerates AI for the enterprise and brings operational simplicity to GenAI deployments. As a leading developer and maintainer of the vLLM project and inventor of state-of-the-art techniques for model quantization and sparsification, Neural Magic provides a stable platform for enterprises to build, optimize and scale LLM deployments.

Our Mission

Neural Magic is on a mission to bring the power of open-source LLMs and vLLM to every enterprise on the planet.

Your Role

As an ML Research Engineer, you will be at the forefront of innovation, collaborating with our team to tackle the most pressing challenges in model performance and efficiency. Your research will directly impact the development of our cutting-edge software platform, helping to shape the future of AI deployment and utilization.

Join us in shaping the future of AI!

Responsibilities


 * Research & Innovate: Spearhead the development of cutting-edge research projects focused on improving LLM performance, efficiency, and scalability
 * Prototype & Experiment: Design and implement prototypes to test novel algorithms and techniques, pushing the boundaries of model optimization and inference serving
 * Analyze & Evaluate: Conduct rigorous experiments and analysis to measure the impact of your research, document findings, and share insights with the team
 * Collaborate & Communicate: Work closely with product and engineering teams to translate research prototypes into production-ready features, ensuring seamless integration with our platform
 * Contribute & Share: Stay abreast of the latest advancements in the field, contribute to open-source projects, and share your findings through publications and presentations
   
   

Requirements


 * Research Expertise: Proven experience conducting independent research or contributing to research projects, preferably in areas related to LLMs or generative AI
 * Technical Proficiency: Strong programming skills in Python and a deep understanding of PyTorch or similar deep learning frameworks
 * Optimization Experience: Familiarity with model optimization techniques like pruning, quantization, distillation, or other performance-enhancing methods
 * Problem-Solving Skills: Ability to identify and solve complex technical challenges, applying theoretical knowledge to real-world applications
 * Communication Skills: Excellent written and verbal communication skills to convey research findings and collaborate effectively with cross-functional teams
   
   

Benefits


 * Competitive compensation and stock option plan
 * Comprehensive health care (medical, dental, vision)
 * Retirement plan (401k, IRA)
 * Generous paid time off (vacation, sick leave, holidays)
 * Family leave (maternity, paternity)
 * Disability coverage
 * Professional development opportunities
 * Flexible work arrangements (remote options)
 * Wellness resources
 * Free food and snacks (in the office)
   
   

Neural Magic is an equal-opportunity employer committed to fostering a diverse and inclusive workplace. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",113 applicants,Full-time,Entry level,Engineering,"Technology, Information and Internet",Researcher,0
ML Engineer,United States,2024-05-14,VRK IT Vision Inc.,"A master’s or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.

Solid knowledge of software engineering best practices, including version control systems (e.g.,

Git), code reviews, and testing methodologies. Backend Server & SDK development -

programming languages (GO/GRPC, Java, Python)

GCP Vertex AI Components and SDK Experience

Experience with React UI is needed.

 Mandatory Skills: (Go or Python or GRPC or Java), GCP Vertex AI, React, SDK",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Information Technology & Services,ML/AI Engineer,4
"Machine Learning Engineer, Forecast Platform","Sunnyvale, CA",2024-05-22,DoorDash,"About The Team

Come help us build the world's most reliable on-demand, logistics engine for delivery! We are bringing on a talented Machine Learning Engineer to help us improve the operational efficiency of DoorDash's three-sided marketplace of consumers, merchants, and dashers. The Forecasting Platform provides a unique opportunity to have a broad impact on the business ensuring we can quickly respond to a rapidly changing operational environment. The team supports projects across all of our major pillars (e.g. supply / demand, auto-scaling infrastructure, support optimization) as well as the development of an internal decision platform for time series.

About The Role

As a Machine Learning Engineer, you will have the opportunity to leverage our robust data and machine learning infrastructure to develop ML models that impact millions of users across our three audiences and tackle our most challenging business problems. You will work with other engineers, analysts, and product managers to develop and iterate on models to help us grow our business and provide the best service quality for our customers.

You’re Excited About This Opportunity Because You Will…


 * Build time-dependent statistical and ML models that solve product needs across our verticals - e.g. matching supply / demand, predicting support needs, providing insights to our internal platforms (ads, experiments, merchant), auto-scale infrastructure and optimize business processes such as promotions
 * Own the modeling life cycle end-to-end including feature creation, model development and prototyping, experimentation, monitoring and explainability, and model maintenance
 * Contribute to the development of our in-house Forecasting Self-Service Platform and proprietary Forecasting Repository to uplevel our capabilities
 * Research new tools within the Forecasting space (e.g. TimeGPT, LLM extensions)
 * You can find out more on our ML blog post here
   
   

We’re Excited About You Because…


 * High-energy and confident — you keep the mission in mind, take ideas and help them grow using data and rigorous testing, show evidence of progress and then double down
 * You’re an owner — driven, focused, and quick to take ownership of your work
 * Humble — you’re willing to jump in and you’re open to feedback
 * Adaptable, resilient, and able to thrive in ambiguity — things change quickly in our fast-paced startup and you’ll need to be able to keep up!
 * Growth-minded — you’re eager to expand your skill set and excited to carve out your career path in a hyper-growth setting
 * Desire for impact — ready to take on a lot of responsibility and work collaboratively with your team
   
   

Experience


 * M.S. and 3+ or PhD. and 1+ year(s) experience of developing advanced statistical and machine learning models in production
 * Demonstrated expertise with object-oriented programming and ML Libraries, e.g. python, SciKit Learn, Lightgbm, Spark MLLib, PyTorch, TensorFlow, etc
 * Deep understanding of complex systems such as Marketplaces, and domain knowledge in two or more of the following: Machine Learning, Causal Inference, Operations Research, Forecasting
 * Experience of shipping production-grade ML models and optimization systems
   
   

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.

Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.

If you need any accommodations, please inform your recruiting contact upon initial connection.

Compensation

The location-specific base salary range for this position is listed below. Compensation in other geographies may vary.

Actual compensation within the pay range will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. For roles that are available to be filled remotely, base salary is localized according to employee work location. Please discuss your intended work location with your recruiter for more information.

DoorDash cares about you and your overall well-being, and that’s why we offer a comprehensive benefits package, for full-time employees, that includes healthcare benefits, a 401(k) plan including an employer match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid time off, paid parental leave, and several paid holidays, among others.

In addition to base salary, the compensation package for this role also includes opportunities for equity grants.

California Pay Range:

$140,100—$210,100 USD

Washington Pay Range:

$140,100—$210,100 USD",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,Platform Engineer,4
"Machine Learning Engineer, Forecast Platform","San Francisco, CA",2024-05-22,DoorDash,"About The Team

Come help us build the world's most reliable on-demand, logistics engine for delivery! We are bringing on a talented Machine Learning Engineer to help us improve the operational efficiency of DoorDash's three-sided marketplace of consumers, merchants, and dashers. The Forecasting Platform provides a unique opportunity to have a broad impact on the business ensuring we can quickly respond to a rapidly changing operational environment. The team supports projects across all of our major pillars (e.g. supply / demand, auto-scaling infrastructure, support optimization) as well as the development of an internal decision platform for time series.

About The Role

As a Machine Learning Engineer, you will have the opportunity to leverage our robust data and machine learning infrastructure to develop ML models that impact millions of users across our three audiences and tackle our most challenging business problems. You will work with other engineers, analysts, and product managers to develop and iterate on models to help us grow our business and provide the best service quality for our customers.

You’re Excited About This Opportunity Because You Will…


 * Build time-dependent statistical and ML models that solve product needs across our verticals - e.g. matching supply / demand, predicting support needs, providing insights to our internal platforms (ads, experiments, merchant), auto-scale infrastructure and optimize business processes such as promotions
 * Own the modeling life cycle end-to-end including feature creation, model development and prototyping, experimentation, monitoring and explainability, and model maintenance
 * Contribute to the development of our in-house Forecasting Self-Service Platform and proprietary Forecasting Repository to uplevel our capabilities
 * Research new tools within the Forecasting space (e.g. TimeGPT, LLM extensions)
 * You can find out more on our ML blog post here
   
   

We’re Excited About You Because…


 * High-energy and confident — you keep the mission in mind, take ideas and help them grow using data and rigorous testing, show evidence of progress and then double down
 * You’re an owner — driven, focused, and quick to take ownership of your work
 * Humble — you’re willing to jump in and you’re open to feedback
 * Adaptable, resilient, and able to thrive in ambiguity — things change quickly in our fast-paced startup and you’ll need to be able to keep up!
 * Growth-minded — you’re eager to expand your skill set and excited to carve out your career path in a hyper-growth setting
 * Desire for impact — ready to take on a lot of responsibility and work collaboratively with your team
   
   

Experience


 * M.S. and 3+ or PhD. and 1+ year(s) experience of developing advanced statistical and machine learning models in production
 * Demonstrated expertise with object-oriented programming and ML Libraries, e.g. python, SciKit Learn, Lightgbm, Spark MLLib, PyTorch, TensorFlow, etc
 * Deep understanding of complex systems such as Marketplaces, and domain knowledge in two or more of the following: Machine Learning, Causal Inference, Operations Research, Forecasting
 * Experience of shipping production-grade ML models and optimization systems
   
   

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.

Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.

If you need any accommodations, please inform your recruiting contact upon initial connection.

Compensation

The location-specific base salary range for this position is listed below. Compensation in other geographies may vary.

Actual compensation within the pay range will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. For roles that are available to be filled remotely, base salary is localized according to employee work location. Please discuss your intended work location with your recruiter for more information.

DoorDash cares about you and your overall well-being, and that’s why we offer a comprehensive benefits package, for full-time employees, that includes healthcare benefits, a 401(k) plan including an employer match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid time off, paid parental leave, and several paid holidays, among others.

In addition to base salary, the compensation package for this role also includes opportunities for equity grants.

California Pay Range:

$140,100—$210,100 USD

Washington Pay Range:

$140,100—$210,100 USD",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,Platform Engineer,4
ML Engineer,United States,2024-05-17,ELITE MENTE LLC,"ML Engineer [Positions -2]

San Jose, CA Remote is fine

Job Responsibilities


 * A Master's or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.
 * Solid knowledge of software engineering best practices, including version control systems (e.g., Git), code reviews, and testing methodologies. Backend Server & SDK development - programming languages (GO/GRPC, Java, Python)
 * GCP Vertex AI Components and SDK Experience
 * Experience with React UI is needed
 * Mandatory Skills: Golang , Java
 * Optional: GCP Vertex AI, React, SDK",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,4
Machine Learning Engineer Intern,"New York, NY",2024-05-03,Rose AI,"About Rose AI

Rose AI is a cutting-edge cloud data platform that leverages generative AI to help users find, visualize, and share data. By combining powerful natural language processing and state-of-the-art open-source LLMs, we empower knowledge workers to research at the speed of thought, starting with the finance industry. Our platform simplifies the process of accessing, manipulating, and visualizing data, providing a single source of truth that is fully auditable and easy to use.

Job Description

We are seeking a talented ML/AI Engineer intern to join our team at Rose AI. You will be responsible with helping design, implement, and optimize advanced machine learning models to drive the next generation of our platform. You will work alongside a team of passionate engineers and researchers dedicated to transforming the way data is accessed, visualized, and shared.

Responsibilities


 * Develop and implement cutting-edge machine learning and AI algorithms to improve the platform’s performance, scalability, and user experience
 * Collaborate with cross-functional teams to define and prioritize product requirements, scope, and timeline
 * Conduct research to stay up-to-date with the latest ML/AI technologies and industry trends
 * Optimize existing models and algorithms to enhance performance and efficiency
 * Develop and maintain a robust ML/AI pipeline, including data preprocessing, feature extraction, model training, and evaluation
 * Ensure high-quality code by following best practices and conducting thorough code reviews
 * Work closely with the data team to understand data sources and implement data ingestion and processing solutions
   
   

How To Apply

If you are a talented and driven individual with a passion for revolutionizing the way data is accessed and visualized, we would love to hear from you. To apply, please submit your resume, a cover letter detailing your relevant experience, and any links to your GitHub, research publications, or other examples of your work.

Rose AI is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.


 * Please note that this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.",Over 200 applicants,Internship,Internship,Engineering and Information Technology,Software Development,ML/AI Engineer,0
Machine Learning Engineer,"San Francisco, CA",2024-04-18,Replicate,"You’re a machine learning engineer who is an expert at productionizing and optimizing models.

We have a huge library of community-contributed machine learning models. You’ll maintain some of the most popular ones so they’re fast and reliable.

It’ll involve implementing open-source models, optimizing them, and doing general maintenance on them. It’s part ML engineer, part open-source gardener.

We’re Looking For The Right Person, Not Just Someone Who Checks Boxes, So You Don’t Need To Satisfy All Of These Things. But, You Might Have Some Of These Qualities

A balance of software engineering and machine learning skills. - You can squeeze every last drop of performance out of a GPU. - You’ve worked with model compression techniques like pruning and distillation. - You know your way out of CUDA error: device-side assert triggered. - Ideally you’re involved in the generative AI community and familiar with diffusion models and similar techniques. - You don’t need a PhD or know how to build new architectures from scratch. - Excellent communication skills. We think most of being a programmer is not programming. We want you to be able to communicate complex topics clearly, write down your thinking, write good docs, etc.",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,ML/AI Engineer,0
